prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,157,135,22,0,0,0.8598726114649682,1,0.9246575342465754
2,157,135,22,0,0,0.8598726114649682,1,0.9246575342465754
3,157,135,22,0,0,0.8598726114649682,1,0.9246575342465754
4,157,135,22,0,0,0.8598726114649682,1,0.9246575342465754
5,156,135,21,0,0,0.8653846153846154,1,0.9278350515463918
6,155,135,20,0,0,0.8709677419354839,1,0.9310344827586207
7,154,135,19,0,0,0.8766233766233766,1,0.9342560553633218
8,154,135,19,0,0,0.8766233766233766,1,0.9342560553633218
9,143,134,9,0,0,0.9370629370629371,1,0.9675090252707581
10,135,130,5,0,0,0.9629629629629629,1,0.9811320754716981
11,124,121,3,0,0,0.9758064516129032,1,0.9877551020408163
12,113,110,3,0,0,0.9734513274336283,1,0.9865470852017937
13,97,94,3,0,0,0.9690721649484536,1,0.9842931937172774
14,77,74,3,0,0,0.961038961038961,1,0.9801324503311257
