prefix_length,num_cases,tp,fp,tn,fn,precision,recall,fscore
1,151,135,16,0,0,0.8940397350993378,1,0.9440559440559442
2,151,135,16,0,0,0.8940397350993378,1,0.9440559440559442
3,151,135,16,0,0,0.8940397350993378,1,0.9440559440559442
4,151,135,16,0,0,0.8940397350993378,1,0.9440559440559442
5,151,135,16,0,0,0.8940397350993378,1,0.9440559440559442
6,151,135,16,0,0,0.8940397350993378,1,0.9440559440559442
7,151,135,16,0,0,0.8940397350993378,1,0.9440559440559442
8,151,135,16,0,0,0.8940397350993378,1,0.9440559440559442
9,148,132,16,0,0,0.8918918918918919,1,0.9428571428571428
10,146,130,16,0,0,0.8904109589041096,1,0.9420289855072463
11,135,0,0,0,0,0.0,0,0.0
12,121,0,0,0,0,0.0,0,0.0
13,102,0,0,0,0,0.0,0,0.0
14,86,0,0,0,0,0.0,0,0.0
15,73,0,0,0,0,0.0,0,0.0
